,Title,DOI,Link,Abstract,Author Keywords,Index Keywords,FSC_stage
19,stride-based cyber security threat modeling for iot-enabled precision agriculture systems,10.1109/STI53101.2021.9732597,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127443053&doi=10.1109%2fSTI53101.2021.9732597&partnerID=40&md5=63aa3b399e5169e96f354334aa647eb1,the concept of traditional farming is changing rapidly with the introduction of smart technologies like the internet of things iot under the concept of smart agriculture precision agriculture is gaining popularity to enable decision support system dss-based farming management that utilizes widespread iot sensors and wireless connectivity to enable automated detection and optimization of resources undoubtedly the success of the system would be impacted on crop productivity where failure would impact severely like many other cyber-physical systems one of the growing challenges to avoid system adversity is to ensure the system's security privacy and trust but what are the vulnerabilities threats and security issues we should consider while deploying precision agriculture? this paper has conducted a holistic threat modeling on component levels of precision agriculture's standard infrastructure using popular threat intelligence tools stride to identify common security issues our modeling identifies a noticing of fifty-eight potential security threats to consider this presentation systematically presented them and advised general mitigation suggestions to support cyber security in precision agriculture © 2021 ieee,cyber security internet of things iot precision agriculture stride threat modeling,artificial intelligence decision support systems embedded systems internet of things precision agriculture security systems agriculture systems cyber security internet of thing precision agriculture security issues security threat modeling smart agricultures smart technology stride threat modeling cybersecurity,food production
20,tree-based machine learning algorithms in the internet of things environment for multivariate flood status prediction,10.1515/jisys-2021-0179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120880023&doi=10.1515%2fjisys-2021-0179&partnerID=40&md5=474fc700d88440fbf984de317e8bbaaf,floods are one of the most common natural disasters in the world that affect all aspects of life including human beings agriculture industry and education research for developing models of flood predictions has been ongoing for the past few years these models are proposed and built-in proportion for risk reduction policy proposition loss of human lives and property damages associated with floods however flood status prediction is a complex process and demands extensive analyses on the factors leading to the occurrence of flooding consequently this research proposes an internet of things-based flood status prediction iot-fsp model that is used to facilitate the prediction of the rivers flood situation the iot-fsp model applies the internet of things architecture to facilitate the flood data acquisition process and three machine learning ml algorithms which are decision tree dt decision jungle and random forest for the flood prediction process the iot-fsp model is implemented in matlab and simulink as development platforms the results show that the iot-fsp model successfully performs the data acquisition and prediction tasks and achieves an average accuracy of 8572% for the three-fold cross-validation results the research finding shows that the dt scores the highest accuracy of 9322% precision of 9285 and recall of 9281 among the three ml algorithms the ability of the ml algorithm to handle multivariate outputs of 13 different flood textual statuses provides the means of manifesting explainable artificial intelligence and enables the iot-fsp model to act as an early warning and flood monitoring system © 2022 firas mohammed aswad et al published by de gruyter,explainable artificial intelligence flood prediction internet of things machine learning multivariate classification,data acquisition decision trees disasters floods forecasting learning algorithms machine learning agriculture industries explainable artificial intelligence flood prediction human being machine learning algorithms multivariate classification natural disasters prediction modelling risks reduction tree-based internet of things,food production
21,agritrust—a trust management approach for smart agriculture in cloud-based internet of agriculture things,10.3390/s20216174,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094827036&doi=10.3390%2fs20216174&partnerID=40&md5=adad1c45557aa5394a98ec28346c528d,internet of things iot provides a diverse platform to automate things where smart agriculture is one of the most promising concepts in the field of internet of agriculture things ioat due to the requirements of more processing power for computations and predictions the concept of cloud-based smart agriculture is proposed for autonomic systems this is where digital innovation and technology helps to improve the quality of life in the area of urbanization expansion for the integration of cloud in smart agriculture the system is shown to have security and privacy challenges and most significantly the identification of malicious and compromised nodes along with a secure transmission of information between sensors cloud and base station bs the identification of malicious and compromised node among soil sensors communicating with the bs is a notable challenge in the bs to cloud communications the trust management mechanism is proposed as one of the solutions providing a lightweight approach to identify these nodes in this article we have proposed a novel trust management mechanism to identify malicious and compromised nodes by utilizing trust parameters the trust mechanism is an event-driven process that computes trust based on the pre-defined time interval and utilizes the previous trust degree to develop an absolute trust degree the system also maintains the trust degree of a bs and cloud service providers using distinct approaches we have also performed extensive simulations to evaluate the performance of the proposed mechanism against several potential attacks in addition this research helps to create friendlier environments and efficient agricultural productions for the migration of people to the cities © 2020 by the authors licensee mdpi basel switzerland,digital innovation internet of agriculture things privacy smart irrigation system trust management urbanization,agricultural robots agriculture internet of things network security privacy by design agricultural productions cloud communications cloud service providers digital innovations extensive simulations internet of things iot secure transmission security and privacy trusted computing,food production
23,artificial intelligence in bangladesh its applications in different sectors and relevant challenges for the government: an analysis,10.1504/IJPLAP.2021.118891,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119486010&doi=10.1504%2fIJPLAP.2021.118891&partnerID=40&md5=6303b9415f1ed50679feb2a0bf178baa,once upon a time bangladesh was dependent only on agriculture but with the change of time the advent of advanced technology has taken place in every field of this country automation and control technology is being applied in various industries and artificial intelligence iot big data blockchain etc has become very popular here for the effective implementation of ai several specific sectors have been identified here where we see extensive use of ai technologies for implementing ai technology bangladesh government should have to undertake huge preparation where there will be many challenges if the technology is adopted without any proper preparation the paper briefly discusses the current technological situations in bangladesh the concept of ai its applications in different sectors and the relevant challenges the paper also suggests the steps to be taken in the use of ai technology to maintain certain aspects ie policy information privacy security and regulations copyright © 2021 inderscience enterprises ltd,4ir artificial intelligence bangladesh economic growth education fourth industrial revolution information technology smart mobility,blank,food production
27,smartphone image based digital chlorophyll meter to estimate the value of citrus leaves chlorophyll using linear regression lmbp-ann and scgbp-ann,10.1016/j.jksuci.2020.01.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079039621&doi=10.1016%2fj.jksuci.2020.01.005&partnerID=40&md5=251771942ff41632188b6ad3562c81e3,the chlorophyll of leaf can be determined using soil plant analysis development meter or spectrophometer by agriculture scientists agriculture experts and farmers usually these methods are very costly and may not be available to all the farmers and experts low greenness of leaf indicates low photosynthesis in the plant and it creates many problems in the plant this paper forwards a low-cost smartphone image-based digital chlorophyll meter to predict the chlorophyll of citrus leaf the chlorophyll of citrus leaf is predicted using linear regression lr and artificial neural network ann here ann provides more accuracy as compared to lr in citrus chlorophyll prediction both methods are validated with the actual chlorophyll of the citrus leaf the proposed method can be used as a reasonable method for chlorophyll prediction of citrus © 2020 the authors,ann chlorophyll image processing linear regression spad spectrophotometer,blank,food production
35,artificial intelligence in biological sciences,10.3390/life12091430,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138736152&doi=10.3390%2flife12091430&partnerID=40&md5=5bcde18485e2a73959f973cb9ebbb0e0,artificial intelligence ai currently a cutting-edge concept has the potential to improve the quality of life of human beings the fields of ai and biological research are becoming more intertwined and methods for extracting and applying the information stored in live organisms are constantly being refined as the field of ai matures with more trained algorithms the potential of its application in epidemiology the study of host–pathogen interactions and drug designing widens ai is now being applied in several fields of drug discovery customized medicine gene editing radiography image processing and medication management more precise diagnosis and cost-effective treatment will be possible in the near future due to the application of ai-based technologies in the field of agriculture farmers have reduced waste increased output and decreased the amount of time it takes to bring their goods to market due to the application of advanced ai-based approaches moreover with the use of ai through machine learning ml and deep-learning-based smart programs one can modify the metabolic pathways of living systems to obtain the best possible outputs with the minimal inputs such efforts can improve the industrial strains of microbial species to maximize the yield in the bio-based industrial setup this article summarizes the potentials of ai and their application to several fields of biology such as medicine agriculture and bio-based industry © 2022 by the authors,agriculture artificial intelligence biotechnology crop yield life science medicine,blank,food production
36,a blockchain-driven food supply chain management using qr code and xai-faster rcnn architecture,10.3390/su15032579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148003638&doi=10.3390%2fsu15032579&partnerID=40&md5=9629338c7945630eb895ed630092b14e,the availability of food in a country and the capacity of its citizens to access acquire and receive enough food are both referred to as having food security a crucial component of food security is ensuring and maintaining safe and high-quality goods which the supply chain process should take into due deliberation to enhance the food supply chain organic and wholesome food items should be encouraged although packaged goods are evaluated and approved by legal authorities there is no mechanism in place for testing and assessing the market’s available supply on a regular basis as a result food manufacturers are compelled to provide nutritious and healthy products in this research we propose an explainable artificial intelligence-based faster regions with convolutional neural networks xai-based faster rcnn model to evaluate the contents of the food items through user-friendly web-based front-end design and qr code to validate each communication token in the network an elliptic curve integrated encrypted scheme ecies based on blockchain technology is utilized additionally artificial rabbit optimization aro is used to register each user and assign him a key the user will gain a deeper understanding of machine learning ml and ai applications using the xai technique an eai-based faster rcnn model is proposed to help digitize information about food products rapidly retrieve the information and discover any hidden information in the quick response qr code that could have impacted the safety and quality of the food the results of the experiments indicated that the proposed method requires less response time than other existing methods with the increase of payload and users the shapley additive explanation is used to obtain a legal plea for the laboratory test based on the nutritional information present in the qr code the benefits provided by ecies-based blockchain technology assist policymakers manufacturers and merchants in efficient decision-making minimizing public health hazards and improving welfare this paper also shows that the accuracy achieved by the proposed method reached 9953% with the lowest processing time © 2023 by the authors,artificial rabbit optimization faster regions with convolutional neural networks food chain supply food production industry secure blockchain,artificial intelligence design food industry food production food security food supply optimization supply chain management,food production
37,a comparative analysis of deep learning models for cucumber disease classification using transfer learning,10.14456/jcst.2023.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147366837&doi=10.14456%2fjcst.2023.3&partnerID=40&md5=1a6f779dc691df7d4718a02a80187105,increasing agricultural productivity continues to be a major challenge for society due to the rapid growth of the global human population and economic prosperity however improving agricultural productivity requires proper identification and minimization of diseases that degrade both the quality and quantity of the crops the scientific community has stressed that the use of recent technologies such as deep learning the internet of things computer vision etc are vital to address various challenges in the agriculture sector furthermore the use of computer vision to automatically identify diseases is growing in popularity this paper provides a comparative analysis of six pre-trained deep learning models namely vgg16 vgg19 resnet50 resnet101 inceptionv3 and xception for disease detection in cucumber plants the pre-trained models are fine-tuned using transfer learning and evaluated using different metrics such as training accuracy testing accuracy and the number of epochs the results obtained demonstrate that vgg16 despite being the smallest model in terms of the number of layers outperforms the rest of the models in all of the evaluation metrics the vgg16 models obtain testing accuracy of 98% and training accuracy of 9991% while being trained for 8 epochs in addition it is observed that models with a larger number of layers such as resnet50 and resnet101 exhibit fluctuations in accuracy while training due to the execution of fairly large models on a comparatively small dataset however inceptionv3 and xception despite having a greater number of layers perform better than resnet models due to the presence of inception modules which are better equipped to detect different-sized targets the findings of this study may be utilized to optimize the best-performing models for disease classification in other plants and the fine-tuned vgg16 model can be integrated with mobile devices for real-time disease classification © 2018-2023 rangsit university,cucumber disease classification deep learning digital agriculture plant disease transfer learning,blank,food production
39,domain adaptation for in-line allergen classification of agri-food powders using near-infrared spectroscopy,10.3390/s22197239,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139943477&doi=10.3390%2fs22197239&partnerID=40&md5=e3bed4acd2a315e22504bd430c5e4ace,the addition of incorrect agri-food powders to a production line due to human error is a large safety concern in food and drink manufacturing owing to incorporation of allergens in the final product this work combines near-infrared spectroscopy with machine-learning models for early detection of this problem specifically domain adaptation is used to transfer models from spectra acquired under stationary conditions to moving samples thereby minimizing the volume of labelled data required to collect on a production line two deep-learning domain-adaptation methodologies are used: domain-adversarial neural networks and semisupervised generative adversarial neural networks overall accuracy of up to 960% was achieved using no labelled data from the target domain moving spectra and up to 9968% was achieved when incorporating a single labelled data instance for each material into model training using both domain-adaptation methodologies together achieved the highest prediction accuracies on average as did combining measurements from two near-infrared spectroscopy sensors with different wavelength ranges ensemble methods were used to further increase model accuracy and provide quantification of model uncertainty and a feature-permutation method was used for global interpretability of the models © 2022 by the authors,domain adaptation food and drink machine learning near-infrared spectroscopy process monitoring transfer learning,allergens deep learning infrared devices learning systems manufacture powders uncertainty analysis domain adaptation food and drink food powders human errors labeled data machine-learning neural-networks production line spectra's transfer learning process monitoring allergen human machine learning near infrared spectroscopy powder allergens humans machine learning neural networks computer powders spectroscopy near-infrared,food production
40,association between neighborhood factors and adult obesity in shelby county tennessee: geospatial machine learning approach,10.2196/37039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135768922&doi=10.2196%2f37039&partnerID=40&md5=ae4e50240ffa5dca40df99b5ea5f279f,background: obesity is a global epidemic causing at least 28 million deaths per year this complex disease is associated with significant socioeconomic burden reduced work productivity unemployment and other social determinants of health sdoh disparities objective: the objective of this study was to investigate the effects of sdoh on obesity prevalence among adults in shelby county tennessee the united states using a geospatial machine learning approach methods: obesity prevalence was obtained from the publicly available 500 cities database of centers for disease control and prevention and sdoh indicators were extracted from the us census and the us department of agriculture we examined the geographic distributions of obesity prevalence patterns using getis-ord gi* statistics and calibrated multiple models to study the association between sdoh and adult obesity unsupervised machine learning was used to conduct grouping analysis to investigate the distribution of obesity prevalence and associated sdoh indicators results: results depicted a high percentage of neighborhoods experiencing high adult obesity prevalence within shelby county in the census tract the median household income as well as the percentage of individuals who were black home renters living below the poverty level 55 years or older unmarried and uninsured had a significant association with adult obesity prevalence the grouping analysis revealed disparities in obesity prevalence among disadvantaged neighborhoods conclusions: more research is needed to examine links between geographical location sdoh and chronic diseases the findings of this study which depict a significantly higher prevalence of obesity within disadvantaged neighborhoods and other geospatial information can be leveraged to offer valuable insights informing health decision-making and interventions that mitigate risk factors of increasing obesity prevalence © whitney s brakefield olufunto a olusanya arash shaban-nejad,disease surveillance disparities geographic information systems machine learning obesity obesity surveillance sdoh social determinants of health,adult demography human machine learning obesity socioeconomics tennessee united states adult humans machine learning obesity residence characteristics socioeconomic factors tennessee united states,food production
